MODELYEAR,MAKE,MODEL,VEHICLECLASS,ENGINESIZE,CYLINDERS,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,FUELCONSUMPTION_COMB,FUELCONSUMPTION_COMB_MPG,CO2EMISSIONS
2014,ACURA,ILX,COMPACT,2,4,9.9,6.7,8.5,33,196
2014,ACURA,ILX,COMPACT,2.4,4,11.2,7.7,9.6,29,221
2014,ACURA,ILX HYBRID,COMPACT,1.5,4,6,5.8,5.9,48,136
2014,ACURA,MDX 4WD,SUV - SMALL,3.5,6,12.7,9.1,11.1,25,255
2014,ACURA,RDX AWD,SUV - SMALL,3.5,6,12.1,8.7,10.6,27,244
2014,ACURA,RLX,MID-SIZE,3.5,6,11.9,7.7,10,28,230
2014,ACURA,TL,MID-SIZE,3.5,6,11.8,8.1,10.1,28,232
2014,ACURA,TL AWD,MID-SIZE,3.7,6,12.8,9,11.1,25,255
2014,ACURA,TL AWD,MID-SIZE,3.7,6,13.4,9.5,11.6,24,267
2014,ACURA,TSX,COMPACT,2.4,4,10.6,7.5,9.2,31,212
2014,ACURA,TSX,COMPACT,2.4,4,11.2,8.1,9.8,29,225
2014,ACURA,TSX,COMPACT,3.5,6,12.1,8.3,10.4,27,239
2014,ASTON MARTIN,DB9,MINICOMPACT,5.9,12,18,12.6,15.6,18,359
2014,ASTON MARTIN,RAPIDE,SUBCOMPACT,5.9,12,18,12.6,15.6,18,359
2014,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,17.4,11.3,14.7,19,338
2014,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,18.1,12.2,15.4,18,354
2014,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,17.4,11.3,14.7,19,338
2014,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,18.1,12.2,15.4,18,354
2014,ASTON MARTIN,VANQUISH,MINICOMPACT,5.9,12,18,12.6,15.6,18,359
2014,AUDI,A4,COMPACT,2,4,9.9,7.4,8.8,32,202
2014,AUDI,A4 QUATTRO,COMPACT,2,4,11.5,8.1,10,28,230
2014,AUDI,A4 QUATTRO,COMPACT,2,4,10.8,7.5,9.3,30,214
2014,AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2,4,11.5,8.1,10,28,230
2014,AUDI,A5 QUATTRO,SUBCOMPACT,2,4,11.5,8.1,10,28,230
2014,AUDI,A5 QUATTRO,SUBCOMPACT,2,4,10.8,7.5,9.3,30,214
2014,AUDI,A6 QUATTRO,MID-SIZE,2,4,12,8.1,10.2,28,235
2014,AUDI,A6 QUATTRO,MID-SIZE,3,6,12.8,8.6,10.9,26,251
2014,AUDI,A6 QUATTRO TDI CLEAN DIESEL,MID-SIZE,3,6,9.8,6.4,8.3,34,224
2014,AUDI,A7 QUATTRO,MID-SIZE,3,6,13.1,8.8,11.2,25,258
2014,AUDI,A7 QUATTRO TDI CLEAN DIESEL,MID-SIZE,3,6,9.8,6.4,8.3,34,224
2014,AUDI,A8,MID-SIZE,3,6,13.1,8.8,11.2,25,258
2014,AUDI,A8,MID-SIZE,4,8,13.5,8.6,11.3,25,260
2014,AUDI,A8 TDI CLEAN DIESEL,MID-SIZE,3,6,10,6.4,8.4,34,227
2014,AUDI,A8L,FULL-SIZE,3,6,13.1,8.8,11.2,25,258
2014,AUDI,A8L,FULL-SIZE,4,8,14.7,9.7,12.5,23,288
2014,AUDI,A8L,FULL-SIZE,6.3,12,18.2,12.6,15.7,18,361
2014,AUDI,A8L TDI CLEAN DIESEL,FULL-SIZE,3,6,10.1,6.5,8.5,33,230
2014,AUDI,ALLROAD QUATTRO,STATION WAGON - SMALL,2,4,11.8,8.8,10.5,27,242
2014,AUDI,Q5,SUV - SMALL,2,4,12,8.5,10.4,27,239
2014,AUDI,Q5,SUV - SMALL,3,6,12.9,9.2,11.2,25,258
2014,AUDI,Q5 HYBRID,SUV - SMALL,2,4,9.9,8.3,9.2,31,212
2014,AUDI,Q5 TDI CLEAN DIESEL,SUV - SMALL,3,6,10.3,7.6,9.1,31,246
2014,AUDI,Q7,SUV - STANDARD,3,6,15.1,10.9,13.2,21,304
2014,AUDI,Q7 TDI CLEAN DIESEL,SUV - STANDARD,3,6,12.9,8.4,10.9,26,294
2014,AUDI,R8,TWO-SEATER,4.2,8,17.6,11,14.6,19,336
2014,AUDI,R8,TWO-SEATER,4.2,8,21.2,13.4,17.7,16,407
2014,AUDI,R8,TWO-SEATER,5.2,10,18.8,11.3,15.4,18,354
2014,AUDI,R8,TWO-SEATER,5.2,10,21.1,13.8,17.8,16,409
2014,AUDI,R8 SPYDER,TWO-SEATER,4.2,8,17.6,11,14.6,19,336
2014,AUDI,R8 SPYDER,TWO-SEATER,4.2,8,21.2,13.4,17.7,16,407
2014,AUDI,R8 SPYDER,TWO-SEATER,5.2,10,18.8,11.3,15.4,18,354
2014,AUDI,R8 SPYDER,TWO-SEATER,5.2,10,21.1,13.8,17.8,16,409
2014,AUDI,RS5,SUBCOMPACT,4.2,8,15.3,10.9,13.3,21,306
2014,AUDI,RS5 CABRIOLET,SUBCOMPACT,4.2,8,15.2,11.3,13.4,21,308
2014,AUDI,RS7,MID-SIZE,4,8,15.3,9.3,12.6,22,290
2014,AUDI,S4,COMPACT,3,6,13.2,9.2,11.4,25,262
2014,AUDI,S4,COMPACT,3,6,14.6,9.8,12.4,23,285
2014,AUDI,S5,SUBCOMPACT,3,6,13.2,9.2,11.4,25,262
2014,AUDI,S5,SUBCOMPACT,3,6,14.6,9.8,12.4,23,285
2014,AUDI,S5 CABRIOLET,SUBCOMPACT,3,6,13.3,9.5,11.6,24,267
2014,AUDI,S6,MID-SIZE,4,8,14.2,9.7,12.2,23,281
2014,AUDI,S7,MID-SIZE,4,8,14.2,9.7,12.2,23,281
2014,AUDI,S8,MID-SIZE,4,8,15.4,9.8,12.9,22,297
2014,AUDI,SQ5,SUV - SMALL,3,6,14.9,10.1,12.7,22,292
2014,AUDI,TT COUPE QUATTRO,SUBCOMPACT,2,4,10.4,7.6,9.1,31,209
2014,AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2,4,10.4,7.6,9.1,31,209
2014,AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2,4,11.5,8.8,10.3,27,237
2014,AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,2,4,11.5,8.8,10.3,27,237
2014,BENTLEY,CONTINENTAL GT,SUBCOMPACT,4,8,15.4,9.8,12.9,22,297
2014,BENTLEY,CONTINENTAL GT,SUBCOMPACT,6,12,18.8,11.5,15.5,18,356
2014,BENTLEY,CONTINENTAL GT CONVERTIBLE,SUBCOMPACT,4,8,16.8,10.3,13.9,20,320
2014,BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,SUBCOMPACT,6,12,20,12.2,16.5,17,380
2014,BENTLEY,CONTINENTAL GTC,SUBCOMPACT,4,8,16.7,10.6,14,20,322
2014,BENTLEY,CONTINENTAL GTC,SUBCOMPACT,6,12,20,12.2,16.5,17,380
2014,BENTLEY,FLYING SPUR,MID-SIZE,6,12,20,12.2,16.5,17,380
2014,BENTLEY,MULSANNE,MID-SIZE,6.8,8,22.3,14.9,19,15,437
2014,BMW,320i,COMPACT,2,4,10,6.5,8.4,34,193
2014,BMW,320i,COMPACT,2,4,10.4,6.7,8.7,32,200
2014,BMW,320i xDRIVE,COMPACT,2,4,10.2,7,8.8,32,202
2014,BMW,328d xDRIVE,COMPACT,2,4,7.6,5.5,6.7,42,181
2014,BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2,4,7.6,5.5,6.7,42,181
2014,BMW,328i,COMPACT,2,4,10,6.5,8.4,34,193
2014,BMW,328i,COMPACT,2,4,10.4,6.7,8.7,32,200
2014,BMW,328i xDRIVE,COMPACT,2,4,10.6,7.2,9.1,31,209
2014,BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,2,4,10.6,7.2,9.1,31,209
2014,BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,2,4,10.6,7.2,9.1,31,209
2014,BMW,335i,COMPACT,3,6,11.4,7.3,9.6,29,221
2014,BMW,335i,COMPACT,3,6,11.8,7.9,10,28,230
2014,BMW,335i xDRIVE,COMPACT,3,6,11.7,7.8,9.9,29,228
2014,BMW,335i xDRIVE,COMPACT,3,6,11.9,8.3,10.3,27,237
2014,BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,3,6,11.9,8,10.1,28,232
2014,BMW,428i COUPE,COMPACT,2,4,10,6.5,8.4,34,193
2014,BMW,428i COUPE,COMPACT,2,4,10.4,6.7,8.7,32,200
2014,BMW,428i xDRIVE COUPE,COMPACT,2,4,10.6,7.2,9.1,31,209
2014,BMW,435i COUPE,COMPACT,3,6,11.4,7.3,9.6,29,221
2014,BMW,435i COUPE,COMPACT,3,6,11.8,7.9,10,28,230
2014,BMW,435i xDRIVE COUPE,COMPACT,3,6,11.7,7.8,9.9,29,228
2014,BMW,435i xDRIVE COUPE,COMPACT,3,6,11.9,8.3,10.3,27,237
2014,BMW,528i,MID-SIZE,2,4,10.2,7,8.8,32,202
2014,BMW,528i xDRIVE,MID-SIZE,2,4,10.6,7.2,9.1,31,209
2014,BMW,535d xDRIVE,MID-SIZE,3,6,9.2,6.4,7.9,36,213
2014,BMW,535i xDRIVE,MID-SIZE,3,6,11.9,8,10.1,28,232
2014,BMW,535i xDRIVE GRAN TURISMO,FULL-SIZE,3,6,12.5,8.6,10.7,26,246
2014,BMW,550i xDRIVE,MID-SIZE,4.4,8,14.4,9.6,12.2,23,281
2014,BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,4.4,8,15,9.8,12.7,22,292
2014,BMW,640i xDRIVE GRAN COUPE,COMPACT,3,6,11.9,8,10.1,28,232
2014,BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8,15,9.8,12.7,22,292
2014,BMW,650i xDRIVE COUPE,COMPACT,4.4,8,14.4,9.6,12.2,23,281
2014,BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,8,15,9.8,12.7,22,292
2014,BMW,740Li xDRIVE,FULL-SIZE,3,6,12.5,8.6,10.7,26,246
2014,BMW,750i xDRIVE,FULL-SIZE,4.4,8,15,9.8,12.7,22,292
2014,BMW,750Li xDRIVE,FULL-SIZE,4.4,8,15,9.8,12.7,22,292
2014,BMW,760Li,FULL-SIZE,6,12,18.7,11.5,15.5,18,356
2014,BMW,ACTIVEHYBRID 3,COMPACT,3,6,9.2,7.1,8.3,34,191
2014,BMW,ACTIVEHYBRID 5,MID-SIZE,3,6,10.5,7.9,9.3,30,214
2014,BMW,ACTIVEHYBRID 7L,FULL-SIZE,3,6,10.5,7.6,9.2,31,212
2014,BMW,ALPINA B7 xDRIVE LWB,FULL-SIZE,4.4,8,15,9.8,12.7,22,292
2014,BMW,ALPINA B7 xDRIVE SWB,FULL-SIZE,4.4,8,15,9.8,12.7,22,292
2014,BMW,M5,MID-SIZE,4.4,8,17.3,11.5,14.7,19,338
2014,BMW,M5,MID-SIZE,4.4,8,16.2,10.9,13.8,20,317
2014,BMW,M6,COMPACT,4.4,8,17.3,11.5,14.7,19,338
2014,BMW,M6,COMPACT,4.4,8,16.2,10.9,13.8,20,317
2014,BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,17.3,11.5,14.7,19,338
2014,BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,16.2,10.9,13.8,20,317
